3	3	3	2.65	0.0486	0.2206	1629.2768
3	3	4	2.83	0.0485	0.2203	1627.4821
3	3	5	2.78	0.0485	0.2202	1626.7353
3	3	6	2.71	0.0485	0.2201	1626.1756
3	3	7	2.92	0.0484	0.2201	1625.8308
3	3	8	2.93	0.0484	0.2201	1625.5251
3	3	9	2.68	0.0484	0.2200	1625.3578
3	3	10	2.70	0.0484	0.2200	1625.3578
3	3	11	2.59	0.0484	0.2200	1625.3578
3	3	12	2.92	0.0484	0.2200	1625.3578
3	4	3	2.95	0.0480	0.2191	1618.7884
3	4	4	2.85	0.0479	0.2188	1616.4091
3	4	5	2.55	0.0478	0.2187	1615.6189
3	4	6	2.85	0.0478	0.2186	1614.9428
3	4	7	2.86	0.0478	0.2186	1614.4607
3	4	8	2.83	0.0477	0.2185	1614.0815
3	4	9	2.61	0.0477	0.2185	1613.7807
3	4	10	2.67	0.0477	0.2184	1613.5492
3	4	11	2.66	0.0477	0.2184	1613.4187
3	4	12	2.88	0.0477	0.2184	1613.3085
3	5	3	2.94	0.0477	0.2184	1613.1381
3	5	4	2.57	0.0474	0.2178	1608.8296
3	5	5	2.67	0.0474	0.2176	1607.5214
3	5	6	2.65	0.0473	0.2175	1606.6997
3	5	7	2.56	0.0473	0.2174	1606.0622
3	5	8	2.70	0.0472	0.2174	1605.6662
3	5	9	2.91	0.0472	0.2173	1605.3029
3	5	10	2.71	0.0472	0.2173	1605.0121
3	5	11	2.89	0.0472	0.2172	1604.7771
3	5	12	2.84	0.0472	0.2172	1604.5691
3	6	3	2.81	0.0475	0.2179	1609.5143
3	6	4	2.80	0.0472	0.2172	1604.7897
3	6	5	2.80	0.0471	0.2170	1603.1064
3	6	6	2.62	0.0470	0.2169	1602.0786
3	6	7	2.92	0.0470	0.2168	1601.4386
3	6	8	2.83	0.0470	0.2167	1601.0040
3	6	9	2.74	0.0470	0.2167	1600.6213
3	6	10	2.89	0.0469	0.2166	1600.2575
3	6	11	2.84	0.0469	0.2166	1599.9830
3	6	12	2.86	0.0469	0.2166	1599.7670
3	7	3	2.89	0.0473	0.2175	1606.4010
3	7	4	2.93	0.0470	0.2168	1601.6494
3	7	5	2.82	0.0469	0.2166	1599.8343
3	7	6	2.87	0.0468	0.2164	1598.7424
3	7	7	2.70	0.0468	0.2163	1598.0985
3	7	8	2.88	0.0468	0.2163	1597.5827
3	7	9	2.88	0.0467	0.2162	1597.1191
3	7	10	2.89	0.0467	0.2162	1596.7170
3	7	11	2.66	0.0467	0.2161	1596.3682
3	7	12	3.07	0.0467	0.2161	1596.1317
3	8	3	2.64	0.0472	0.2173	1605.0254
3	8	4	2.64	0.0469	0.2165	1599.4992
3	8	5	2.69	0.0468	0.2163	1597.5861
3	8	6	2.59	0.0467	0.2161	1596.4878
3	8	7	2.60	0.0467	0.2160	1595.8357
3	8	8	2.76	0.0466	0.2159	1595.1242
3	8	9	2.80	0.0466	0.2159	1594.6132
3	8	10	2.81	0.0466	0.2158	1594.1691
3	8	11	2.89	0.0465	0.2158	1593.7565
3	8	12	2.71	0.0465	0.2157	1593.3924
3	9	3	2.82	0.0472	0.2172	1604.3498
3	9	4	2.80	0.0468	0.2164	1598.4882
3	9	5	2.85	0.0467	0.2161	1596.3412
3	9	6	2.81	0.0466	0.2159	1594.9353
3	9	7	2.65	0.0466	0.2158	1594.1332
3	9	8	2.87	0.0465	0.2157	1593.4136
3	9	9	2.93	0.0465	0.2156	1592.8905
3	9	10	2.73	0.0465	0.2156	1592.3678
3	9	11	2.67	0.0464	0.2155	1591.9285
3	9	12	2.92	0.0464	0.2154	1591.5046
3	10	3	2.86	0.0472	0.2172	1604.3497
3	10	4	2.82	0.0468	0.2163	1597.6084
3	10	5	2.96	0.0466	0.2160	1595.4360
3	10	6	2.84	0.0466	0.2158	1593.9920
3	10	7	2.76	0.0465	0.2157	1593.1038
3	10	8	2.88	0.0465	0.2156	1592.3131
3	10	9	2.71	0.0464	0.2155	1591.7412
3	10	10	2.69	0.0464	0.2154	1591.1959
3	10	11	2.89	0.0464	0.2153	1590.7039
3	10	12	2.72	0.0463	0.2153	1590.2574
3	11	3	2.73	0.0472	0.2172	1604.3496
3	11	4	2.78	0.0468	0.2162	1597.2863
3	11	5	2.83	0.0466	0.2159	1594.5522
3	11	6	2.77	0.0465	0.2157	1593.0373
3	11	7	2.83	0.0465	0.2155	1592.1541
3	11	8	2.72	0.0464	0.2154	1591.3502
3	11	9	2.67	0.0464	0.2153	1590.7700
3	11	10	2.84	0.0463	0.2153	1590.1911
3	11	11	2.85	0.0463	0.2152	1589.6592
3	11	12	2.90	0.0463	0.2151	1589.2134
3	12	3	2.62	0.0472	0.2172	1604.3495
3	12	4	2.66	0.0467	0.2162	1597.0642
3	12	5	2.70	0.0466	0.2158	1594.1605
3	12	6	2.75	0.0465	0.2156	1592.5426
3	12	7	2.88	0.0464	0.2154	1591.4370
3	12	8	2.90	0.0464	0.2153	1590.6183
3	12	9	2.84	0.0463	0.2153	1590.0411
3	12	10	2.91	0.0463	0.2152	1589.4718
3	12	11	2.74	0.0463	0.2151	1588.8884
3	12	12	2.74	0.0462	0.2150	1588.3797
4	3	3	2.72	0.0483	0.2198	1623.3336
4	3	4	2.83	0.0481	0.2193	1620.2621
4	3	5	2.82	0.0480	0.2192	1619.1494
4	3	6	2.61	0.0480	0.2191	1618.4450
4	3	7	2.82	0.0480	0.2190	1618.0939
4	3	8	2.82	0.0480	0.2190	1617.7473
4	3	9	2.63	0.0479	0.2190	1617.4407
4	3	10	2.83	0.0479	0.2189	1617.2927
4	3	11	2.60	0.0479	0.2189	1617.1684
4	3	12	2.72	0.0479	0.2189	1617.0882
4	4	3	2.63	0.0474	0.2176	1607.4635
4	4	4	2.89	0.0472	0.2173	1605.0179
